eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
,,1051120,150.05,27,32960,440,190.05390590999997,,,,,,,,,,,
161.0,160.10452492506812,1052000,,,,,,5.3993377685546875,5130,8.425738334655762,0.2,0.2523363,0.0003,0.8815052732825279,-5.961740501224995,0.57255859375,45.220192176103595,0.09888571518240497
162.4,171.39479730620732,1053000,,,,,,,,,,,,,,,,
,,1053168,151.92,27,33029,441,189.39159905000005,,,,,,,,,,,
161.4,165.8769523486917,1054000,,,,,,5.553374290466309,5140,3.732954978942871,0.2,0.12670292,0.0003,0.9104424864053726,-6.013294602930546,0.52392578125,29.560095342993737,0.05210454656626098
161.6,168.86413279422123,1055000,,,,,,,,,,,,,,,,
,,1055216,154.86,27,33097,442,190.55408799,,,,,,,,,,,
162.6,178.7297655419061,1056000,,,,,,5.583836555480957,5150,9.768533706665039,0.2,0.17873667,0.0003,0.926052562892437,-6.044695645570755,0.472119140625,33.33648312687874,0.03961533109541051
162.4,176.45088189215386,1057000,,,,,,,,,,,,,,,,
,,1057264,158.8,27,33163,443,190.67551996000003,,,,,,,,,,,
161.6,169.21722215329282,1058000,,,,,,5.733345985412598,5160,2.8170127868652344,0.2,0.2841602,0.0003,0.8903462663292885,-6.071637211740017,0.57783203125,35.94517414793372,0.10615881149715278
161.8,174.14023603904062,1059000,,,,,,,,,,,,,,,,
,,1059312,162.45,27,33230,444,192.13736961999996,,,,,,,,,,,
166.6,190.28760977199198,1060000,,,,,,5.722476959228516,5170,1.4545334577560425,0.2,0.10813083,0.0003,0.9485022649168968,-6.097034360468387,0.490576171875,12.936334379017353,0.03307389163528569
163.4,183.71474155029864,1061000,,,,,,,,,,,,,,,,
,,1061360,164.77,27,33298,445,193.47908113000005,,,,,,,,,,,
168.6,199.22116088519616,1062000,,,,,,5.721120357513428,5180,4.567867755889893,0.2,0.10206295,0.0003,0.9613939076662064,-6.102503925561905,0.46669921875,16.847058822214603,0.01777283431874821
168.4,201.40033077016125,1063000,,,,,,,,,,,,,,,,
,,1063408,167.28,27,33365,446,196.00439687999994,,,,,,,,,,,
170.2,202.54479691833768,1064000,,,,,,5.775280952453613,5190,10.903940200805664,0.2,0.12310333,0.0003,0.9400600306689739,-6.115656998753548,0.529736328125,39.74560353755951,0.03565994495729683
171.0,201.93621956220812,1065000,,,,,,,,,,,,,,,,
,,1065456,172.42,27,33432,447,200.06822068999998,,,,,,,,,,,
165.8,192.2185141193404,1066000,,,,,,5.774777412414551,5200,2.547043800354004,0.2,0.070066914,0.0003,0.9680892005562782,-6.124704849720001,0.4212890625,15.531078141182661,0.017873681796481834
167.0,193.14528456170373,1067000,,,,,,,,,,,,,,,,
,,1067504,176.54,27,33500,448,203.81482753000003,,,,,,,,,,,
167.2,197.51605019979615,1068000,,,,,,5.7703375816345215,5210,4.996802806854248,0.2,0.07111162,0.0003,0.973222192376852,-6.12367449849844,0.396533203125,14.948422008752823,0.001498710797750391
166.8,197.83003316073518,1069000,,,,,,,,,,,,,,,,
